Brand,Model,Generation,Engine,URL,Cylinders:,Displacement:,Power:,Torque:,Fuel System:,Fuel:,Fuel capacity:,Top Speed:,Drive Type:,Gearbox:,Front:,Rear:,Tire Size:,Length:,Width:,Height:,Front/rear Track:,Wheelbase:,Cargo Volume:,Unladen Weight:,Combined:,Acceleration 0-62 Mph (0-100 kph):,Aerodynamics (Cd):,Aerodynamics (frontal area):,Turning circle (wall to wall):,City:,Highway:,Ground Clearance:,Gross Weight Limit:,Turning circle:,Turning circle (curb to curb):,Electrical motor power:,Electrical motor torque:,Total maximum power:,Total maximum torque:,CO2 Emissions:,Power pack:,Nominal Capacity:,Range:,Maximum Capacity:,CO2 Emissions (Combined):,Low:,Medium:,High:,Extra high:,Top speed (electrical):,Observations:,Fuel capacity (optional):,CO2 Emissions (Extra high):,CNG cylinder capacity:,City (CNG):,Highway (CNG):,Combined (CNG):,Low (CNG):,Medium (CNG):,High (CNG):,Extra high (CNG):,Charger type:,Charging time (normal):,CO2 Emissions (Medium):,CO2 Emissions (Low):,CO2 Emissions (High):,City (EPA):,Highway (EPA):,Combined (EPA):,Fuel capacity (CNG):,Charging time (quick):,Fuel capacity (hydrogen):
RIVIAN,RIVIAN R1T,"RIVIAN R1T  (2021-Present) Photos, engines & full specs",RIVIAN R1T180 KWh AWD (710 HP),https://www.autoevolution.com/cars/rivian-r1t-2021.html,,,522 KW @ - RPM710 HP @ - RPM700 BHP @ - RPM,413 lb-ft @ 1120-14000 RPM560 Nm @ 1120-14000 RPM,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVIAN,RIVIAN R1T,"RIVIAN R1T  (2021-Present) Photos, engines & full specs",RIVIAN R1T180 KWh AWD (710 HP),https://www.autoevolution.com/cars/rivian-r1t-2021.html,,,,,,,,,,,,,,,,,,,,,,3.3 s,,,,,,,,,,,,,,,,,,,,,,,,125 mph (201 km/h),,,,,,,,,,,,,,,,,,,,,,
RIVIAN,RIVIAN R1T,"RIVIAN R1T  (2021-Present) Photos, engines & full specs",RIVIAN R1T180 KWh AWD (710 HP),https://www.autoevolution.com/cars/rivian-r1t-2021.html,,,,,,,,,All Wheel Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVIAN,RIVIAN R1T,"RIVIAN R1T  (2021-Present) Photos, engines & full specs",RIVIAN R1T180 KWh AWD (710 HP),https://www.autoevolution.com/cars/rivian-r1t-2021.html,,,,,,,,,,,,,,215.6 in (5476 mm),67.3 in (1709 mm),71.5 in (1816 mm),,135.8 in (3449 mm),11.7 cuFT (331 L),,,,,,,,,7.9 in (201 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVIAN,RIVIAN R1T,"RIVIAN R1T  (2021-Present) Photos, engines & full specs",RIVIAN R1T180 KWh AWD (710 HP),https://www.autoevolution.com/cars/rivian-r1t-2021.html,,,,,,,,,,,,,,,,,,,,5886 lbs (2670 kg),,,,,,,,,7650 lbs (3470 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVIAN,RIVIAN R1T,"RIVIAN R1T  (2021-Present) Photos, engines & full specs",RIVIAN R1T180 KWh AWD (710 HP),https://www.autoevolution.com/cars/rivian-r1t-2021.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180 kWh,400 miles (643.7 km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVIAN,RIVIAN R1S,"RIVIAN R1S  (2021-Present) Photos, engines & full specs",RIVIAN R1S(835 HP),https://www.autoevolution.com/cars/rivian-r1s-2021.html,,,,,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,614.1 kw (835 hp),908 lb-ft (1231 Nm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVIAN,RIVIAN R1S,"RIVIAN R1S  (2021-Present) Photos, engines & full specs",RIVIAN R1S(835 HP),https://www.autoevolution.com/cars/rivian-r1s-2021.html,,,,,,,,,,,,,,,,,,,,,,3.1 s,,,,,,,,,,,,,,,,,,,,,,,,125 mph (201 km/h),,,,,,,,,,,,,,,,,,,,,,
RIVIAN,RIVIAN R1S,"RIVIAN R1S  (2021-Present) Photos, engines & full specs",RIVIAN R1S(835 HP),https://www.autoevolution.com/cars/rivian-r1s-2021.html,,,,,,,,,All Wheel Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVIAN,RIVIAN R1S,"RIVIAN R1S  (2021-Present) Photos, engines & full specs",RIVIAN R1S(835 HP),https://www.autoevolution.com/cars/rivian-r1s-2021.html,,,,,,,,,,,Ventilated Discs,Ventilated Discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVIAN,RIVIAN R1S,"RIVIAN R1S  (2021-Present) Photos, engines & full specs",RIVIAN R1S(835 HP),https://www.autoevolution.com/cars/rivian-r1s-2021.html,,,,,,,,,,,,,275/55R21 116H XL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVIAN,RIVIAN R1S,"RIVIAN R1S  (2021-Present) Photos, engines & full specs",RIVIAN R1S(835 HP),https://www.autoevolution.com/cars/rivian-r1s-2021.html,,,,,,,,,,,,,,198.4 in (5039 mm),67.3 in (1709 mm),71.7 in (1821 mm),,121.1 in (3076 mm),11.7 cuFT (331 L),,,,,,,,,8.1 in (206 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVIAN,RIVIAN R1S,"RIVIAN R1S  (2021-Present) Photos, engines & full specs",RIVIAN R1S(835 HP),https://www.autoevolution.com/cars/rivian-r1s-2021.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320 miles (515.0 km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVIAN,RIVIAN R1S,"RIVIAN R1S  (2021-Present) Photos, engines & full specs",RIVIAN R1S105 KWh AWD (408 HP),https://www.autoevolution.com/cars/rivian-r1s-2021.html,,,300.1 KW @ - RPM408 HP @ - RPM402 BHP @ - RPM,413 lb-ft @ 7000 RPM560 Nm @ 7000 RPM,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVIAN,RIVIAN R1S,"RIVIAN R1S  (2021-Present) Photos, engines & full specs",RIVIAN R1S105 KWh AWD (408 HP),https://www.autoevolution.com/cars/rivian-r1s-2021.html,,,,,,,,,,,,,,,,,,,,,,5.1 s,,,,,,,,,,,,,,,,,,,,,,,,125 mph (201 km/h),,,,,,,,,,,,,,,,,,,,,,
RIVIAN,RIVIAN R1S,"RIVIAN R1S  (2021-Present) Photos, engines & full specs",RIVIAN R1S105 KWh AWD (408 HP),https://www.autoevolution.com/cars/rivian-r1s-2021.html,,,,,,,,,All Wheel Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVIAN,RIVIAN R1S,"RIVIAN R1S  (2021-Present) Photos, engines & full specs",RIVIAN R1S105 KWh AWD (408 HP),https://www.autoevolution.com/cars/rivian-r1s-2021.html,,,,,,,,,,,,,,198.4 in (5039 mm),67.3 in (1709 mm),71.7 in (1821 mm),,121.1 in (3076 mm),11.7 cuFT (331 L),,,,,,,,,8.1 in (206 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVIAN,RIVIAN R1S,"RIVIAN R1S  (2021-Present) Photos, engines & full specs",RIVIAN R1S105 KWh AWD (408 HP),https://www.autoevolution.com/cars/rivian-r1s-2021.html,,,,,,,,,,,,,,,,,,,,5842 lbs (2650 kg),,,,,,,,,7650 lbs (3470 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVIAN,RIVIAN R1S,"RIVIAN R1S  (2021-Present) Photos, engines & full specs",RIVIAN R1S105 KWh AWD (408 HP),https://www.autoevolution.com/cars/rivian-r1s-2021.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105 kWh,240 miles (386.2 km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVIAN,RIVIAN R1S,"RIVIAN R1S  (2021-Present) Photos, engines & full specs",RIVIAN R1S135 KWh AWD (764 HP),https://www.autoevolution.com/cars/rivian-r1s-2021.html,,,562 KW @ - RPM764 HP @ - RPM754 BHP @ - RPM,413 lb-ft @ 1120-14000 RPM560 Nm @ 1120-14000 RPM,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVIAN,RIVIAN R1S,"RIVIAN R1S  (2021-Present) Photos, engines & full specs",RIVIAN R1S135 KWh AWD (764 HP),https://www.autoevolution.com/cars/rivian-r1s-2021.html,,,,,,,,,,,,,,,,,,,,,,3.1 s,,,,,,,,,,,,,,,,,,,,,,,,125 mph (201 km/h),,,,,,,,,,,,,,,,,,,,,,
RIVIAN,RIVIAN R1S,"RIVIAN R1S  (2021-Present) Photos, engines & full specs",RIVIAN R1S135 KWh AWD (764 HP),https://www.autoevolution.com/cars/rivian-r1s-2021.html,,,,,,,,,All Wheel Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVIAN,RIVIAN R1S,"RIVIAN R1S  (2021-Present) Photos, engines & full specs",RIVIAN R1S135 KWh AWD (764 HP),https://www.autoevolution.com/cars/rivian-r1s-2021.html,,,,,,,,,,,,,,198.4 in (5039 mm),67.3 in (1709 mm),71.7 in (1821 mm),,121.1 in (3076 mm),11.7 cuFT (331 L),,,,,,,,,8.1 in (206 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVIAN,RIVIAN R1S,"RIVIAN R1S  (2021-Present) Photos, engines & full specs",RIVIAN R1S135 KWh AWD (764 HP),https://www.autoevolution.com/cars/rivian-r1s-2021.html,,,,,,,,,,,,,,,,,,,,5842 lbs (2650 kg),,,,,,,,,7650 lbs (3470 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVIAN,RIVIAN R1S,"RIVIAN R1S  (2021-Present) Photos, engines & full specs",RIVIAN R1S135 KWh AWD (764 HP),https://www.autoevolution.com/cars/rivian-r1s-2021.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135 kWh,310 miles (498.9 km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVIAN,RIVIAN R1S,"RIVIAN R1S  (2021-Present) Photos, engines & full specs",RIVIAN R1S180 KWh AWD (710 HP),https://www.autoevolution.com/cars/rivian-r1s-2021.html,,,522 KW @ - RPM710 HP @ - RPM700 BHP @ - RPM,413 lb-ft @ 1120-14000 RPM560 Nm @ 1120-14000 RPM,Electric,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVIAN,RIVIAN R1S,"RIVIAN R1S  (2021-Present) Photos, engines & full specs",RIVIAN R1S180 KWh AWD (710 HP),https://www.autoevolution.com/cars/rivian-r1s-2021.html,,,,,,,,,,,,,,,,,,,,,,3.3 s,,,,,,,,,,,,,,,,,,,,,,,,125 mph (201 km/h),,,,,,,,,,,,,,,,,,,,,,
RIVIAN,RIVIAN R1S,"RIVIAN R1S  (2021-Present) Photos, engines & full specs",RIVIAN R1S180 KWh AWD (710 HP),https://www.autoevolution.com/cars/rivian-r1s-2021.html,,,,,,,,,All Wheel Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVIAN,RIVIAN R1S,"RIVIAN R1S  (2021-Present) Photos, engines & full specs",RIVIAN R1S180 KWh AWD (710 HP),https://www.autoevolution.com/cars/rivian-r1s-2021.html,,,,,,,,,,,,,,198.4 in (5039 mm),67.3 in (1709 mm),71.7 in (1821 mm),,121.1 in (3076 mm),11.7 cuFT (331 L),,,,,,,,,8.1 in (206 mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVIAN,RIVIAN R1S,"RIVIAN R1S  (2021-Present) Photos, engines & full specs",RIVIAN R1S180 KWh AWD (710 HP),https://www.autoevolution.com/cars/rivian-r1s-2021.html,,,,,,,,,,,,,,,,,,,,5842 lbs (2650 kg),,,,,,,,,7650 lbs (3470 kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RIVIAN,RIVIAN R1S,"RIVIAN R1S  (2021-Present) Photos, engines & full specs",RIVIAN R1S180 KWh AWD (710 HP),https://www.autoevolution.com/cars/rivian-r1s-2021.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180 kWh,410 miles (659.8 km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
